Index1,Index2,peak_cc,peak_mad_mult,peak_width,peak_prominence,win_id_1,win_id_2,group_idx
39251,39285,0.999999880791,28.5742466469,4151.14762204,0.287323117256,1,1,546
39260,39294,0.999999880791,28.5742466469,4151.14762204,0.287323117256,1,1,546
39270,39304,0.999999880791,28.5742466469,4151.14762204,0.287323117256,1,1,546
39289,39323,0.999999880791,28.5742466469,4151.14762204,0.287323117256,1,1,546
39322,39288,0.999999880791,28.5742466469,4151.14762204,0.287323117256,1,1,546
39582,39614,0.999999880791,28.5742466469,4151.14762204,0.287323117256,2,2,547
39589,39621,0.999999880791,28.5742466469,4151.14762204,0.287323117256,2,2,547
39614,39582,0.999999880791,28.5742466469,4151.14762204,0.287323117256,2,2,547
39621,39589,0.999999880791,28.5742466469,4151.14762204,0.287323117256,2,2,547
39838,39870,0.999999880791,28.5742466469,4151.14762204,0.287323117256,3,3,548
39851,39883,0.999999880791,28.5742466469,4151.14762204,0.287323117256,3,3,548
39858,39890,0.999999880791,28.5742466469,4151.14762204,0.287323117256,3,3,548
39864,39896,0.999999880791,28.5742466469,4151.14762204,0.287323117256,3,3,548
39870,39838,0.999999880791,28.5742466469,4151.14762204,0.287323117256,3,3,548
39883,39851,0.999999880791,28.5742466469,4151.14762204,0.287323117256,3,3,548
39890,39858,0.999999880791,28.5742466469,4151.14762204,0.287323117256,3,3,548
39896,39864,0.999999880791,28.5742466469,4151.14762204,0.287323117256,3,3,548
40500,40532,0.999999880791,28.5742466469,4151.14762204,0.287323117256,4,4,549
40532,40500,0.999999880791,28.5742466469,4151.14762204,0.287323117256,4,4,549
40743,40777,0.999999880791,28.5742466469,4151.14762204,0.287323117256,5,5,550
40777,40743,0.999999880791,28.5742466469,4151.14762204,0.287323117256,5,5,550
41047,41015,0.999999821186,28.5742449437,252.0,5.96046447754e-08,6,6,551
41326,41294,0.999999821186,28.5742449437,150.0,5.96046447754e-08,7,7,552
41528,41494,0.999999821186,28.5742449437,119.0,5.96046447754e-08,8,8,553
41671,41637,0.999999821186,28.5742449437,103.0,5.96046447754e-08,8,8,553
41811,41777,0.999999821186,28.5742449437,77.0,5.96046447754e-08,8,8,553
42058,42090,0.999999821186,28.5742449437,147.0,5.96046447754e-08,9,9,554
43160,43126,0.999999761581,28.5742432406,302.0,5.96046447754e-08,10,10,555
262845,3411139,0.80072426796,22.8800954564,125.31778625,0.35367551446,11,27,88
586811,10974318,0.999222695827,28.5520391694,157.506489912,0.554657489061,12,246,99
1156411,15619027,0.803909003735,22.9710968927,155.020209772,0.353274315596,13,403,4
1476691,18885814,0.822227299213,23.4945284483,155.32999536,0.374157756567,14,5410,4
1476955,18880337,0.779323875904,22.2685953025,161.134747921,0.150213956833,15,5391,4
1721931,18880305,0.803940415382,22.971994457,105.262922795,0.181402206421,16,5391,4
1722335,15619270,0.857271909714,24.4959019118,178.151380426,0.212932825089,17,403,4
1722723,18880681,0.883978903294,25.2590342245,356.906334284,0.360742986202,18,5392,4
1723765,18885543,0.783816874027,22.3969793544,83.9120486318,0.140339970589,19,5409,4
1724009,21436054,0.791320800781,22.6113984338,94.7511642119,0.106838643551,20,7827,4
1724285,18880640,0.899743914604,25.7095075998,596.004246348,0.453677415848,21,5392,4
1724816,15619272,0.872979879379,24.9447453648,106.238461053,0.104789853096,22,403,4
1724899,18881215,0.875318229198,25.0115619573,280.455346397,0.343546509743,22,5395,4
1725380,18886710,0.83510017395,23.8623611899,141.562571396,0.243189871311,23,5413,4
1725632,18885223,0.79955714941,22.8467459191,64.7806680051,0.100676596165,24,5408,4
1725939,18885195,0.797452449799,22.7866057061,149.34310365,0.237566351891,25,5408,4
1929439,18885898,0.817558348179,23.361116674,170.937726235,0.364473104477,26,5410,4
3411056,11592877,0.976099669933,27.8913160455,126.525020945,0.512793928385,27,285,88
3413917,18891033,0.85227137804,24.3530154693,200.264359448,0.334641337395,28,5428,4
3505881,18881482,0.817674458027,23.3644344258,141.221050354,0.339318931103,29,5396,234
3624138,18883940,0.794741332531,22.7091375634,95.6688284529,0.213114798069,30,5404,4
3624807,18884093,0.865903913975,24.74255496,238.313977199,0.36877155304,31,5404,4
3627047,18882481,0.882027328014,25.2032694245,183.563971033,0.414285451174,32,5400,4
3990575,7858313,0.88146340847,25.1871558464,86.2116034292,0.0439866781235,33,140,3
3990940,9116277,0.884355723858,25.2698015895,1090.14902817,0.411876946688,34,164,3
3991263,9116350,0.87213498354,24.9206030998,91.9994949475,0.0606137514114,35,164,3
4121317,4510454,0.899345636368,25.6981270978,1122.09192511,0.432087063789,36,43,3
4122189,9849641,0.89408826828,25.5479017475,65.0911205215,0.0529161691666,39,207,3
4380742,7858394,0.858610868454,24.5341616536,63.6035128366,0.0356161594391,40,140,3
4380840,5567251,0.87284296751,24.9408332108,124.059729674,0.0483810305595,40,99,3
4381312,6617234,0.87978464365,25.1391864006,1010.1273818,0.403126090765,41,119,3
4510236,4510486,0.869531571865,24.8462125636,114.773366408,0.0636624693871,42,43,3
4510542,8868553,0.905414640903,25.871544351,79.4760681428,0.0639255642891,43,158,3
4510727,5566820,0.899902701378,25.7140448127,88.312394904,0.0396887660027,44,98,236
4511082,6361599,0.907574951649,25.9332736104,1063.0709997,0.443517059088,45,112,3
4587062,4617366,0.785714685917,22.4512079059,124.887247268,0.224614322186,46,53,58
4587301,12243583,0.796897768974,22.7707561175,125.265485583,0.298900455236,47,350,58
4610311,12243650,0.787923395634,22.5143201296,186.318081804,0.286429822445,48,350,58
4610582,4672994,0.7800822258,22.2902645821,124.893812668,0.217012107372,49,70,58
4614406,12243664,0.788742423058,22.537723224,125.025699996,0.254416286945,50,350,58
4614541,4673372,0.792293846607,22.6392024886,125.332297795,0.294127941132,51,72,105
4617233,4665307,0.789674460888,22.5643555061,250.095126582,0.238353788853,52,67,106
4617444,12283000,0.830531418324,23.7318124242,125.249355492,0.355905503035,53,378,58
4617575,4673626,0.781077444553,22.3187022116,124.942654013,0.221236586571,54,73,105
4618084,12243562,0.781008780003,22.3167401736,124.875227526,0.263311684132,55,350,58
4619137,3411130,0.812394678593,23.213568688,125.757699945,0.285943388939,56,27,88
4619437,3411180,0.816014826298,23.3170116938,125.603791219,0.309314906597,57,27,88
4620182,4672737,0.797806203365,22.796713949,250.208107233,0.2927262187,58,69,106
4623896,4639944,0.816278874874,23.3245566838,125.71808202,0.325558304787,59,65,107
4624166,4623916,0.80271345377,22.9369349491,124.48099668,0.198543190956,60,59,107
4628206,12283000,0.785224020481,22.437187509,125.277059376,0.270166754723,61,378,58
4635124,4617109,0.782313942909,22.3540342248,154.96197449,0.236853539944,62,52,106
4635686,12247472,0.792333066463,22.6403231666,124.88777321,0.293119162321,63,353,237
4638703,4614383,0.784040093422,22.4033576812,125.19525455,0.268291115761,64,50,58
4639944,4623896,0.816278874874,23.3245566838,125.364891833,0.325558304787,65,59,107
4659901,4628085,0.780764520168,22.309760632,125.363184466,0.280490398407,66,61,58
4665205,4672670,0.797075867653,22.7758451537,250.48126192,0.307002842426,67,69,106
4665307,4617233,0.789674460888,22.5643555061,75.1005667206,0.0733652114868,67,52,106
4671717,3411173,0.790456116199,22.5866907204,124.599872043,0.289693236351,68,27,88
4672737,4620182,0.797806203365,22.796713949,206.469934524,0.250742375851,69,58,106
4672995,12283000,0.8194013834,23.4137800232,125.318962133,0.344231933355,70,378,58
4673237,4623914,0.809902906418,23.1423681668,124.805005831,0.263389647007,71,59,107
4673397,12254480,0.808305025101,23.0967099065,125.303663961,0.277939260006,72,362,105
4673646,4673396,0.798022866249,22.8029049284,128.283152084,0.265853881836,73,72,105
4676136,4659927,0.778148531914,22.2350107294,124.920351466,0.26703029871,74,66,58
4769580,6361742,0.854895114899,24.4279867824,64.2946491232,0.0591723322868,75,112,3
4769750,4901229,0.87797242403,25.0874035841,145.100269533,0.0876862406731,76,80,125
4770353,8868510,0.888853907585,25.3983338161,1086.58717863,0.409638166428,77,158,3
4900424,3411057,0.81390196085,23.2566381481,124.993798322,0.296189010143,78,27,88
4900965,7858215,0.917039215565,26.2037078542,1063.33677562,0.444586992264,79,140,3
4901248,7248208,0.908668935299,25.9645333728,185.637554226,0.0729838609695,80,132,125
4901687,9849794,0.887287855148,25.3535850422,62.9597651949,0.0513734221458,82,207,3
5164802,6997203,0.866163730621,24.7499790258,1002.20996325,0.38630977273,84,124,3
5165320,6361724,0.86590886116,24.7426963221,192.680866999,0.150728285313,85,112,3
5394768,5394800,0.999944210052,28.5726558973,13548.5284091,0.566346049309,86,86,72
