Index1,Index2,peak_cc,peak_mad_mult,peak_width,peak_prominence,win_id_1,win_id_2,group_idx
5941,5973,0.999999701977,41.4585027107,160.0,2.38418579102e-07,5,5,131
5948,5980,0.999999701977,41.4585027107,160.0,2.38418579102e-07,5,5,131
5965,5997,0.999999701977,41.4585027107,160.0,2.38418579102e-07,5,5,131
5980,5948,0.999999701977,41.4585027107,160.0,2.38418579102e-07,5,5,131
5994,5962,0.999999701977,41.4585027107,160.0,2.38418579102e-07,5,5,131
6080,6046,0.999999642372,41.4585002396,76.0,5.96046447754e-08,5,5,131
6642,6678,0.999999701977,41.4585027107,81.0,2.38418579102e-07,6,6,132
6678,6642,0.999999701977,41.4585027107,81.0,2.38418579102e-07,6,6,132
6859,6893,0.999999701977,41.4585027107,103.0,2.38418579102e-07,7,7,133
6893,6859,0.999999701977,41.4585027107,103.0,2.38418579102e-07,7,7,133
7329,7297,0.999999701977,41.4585027107,98.0,1.19209289551e-07,8,8,134
8528,8490,0.999999701977,41.4585027107,117.0,1.19209289551e-07,9,9,135
8884,8824,0.999999701977,41.4585027107,126.0,1.19209289551e-07,10,10,136
9115,9149,0.999999701977,41.4585027107,79.0,5.96046447754e-08,11,11,137
9526,9604,0.999999761581,41.4585051818,563.0,1.78813934326e-07,12,12,138
9540,9618,0.999999761581,41.4585051818,563.0,1.78813934326e-07,12,12,138
9591,9555,0.999999761581,41.4585051818,563.0,1.78813934326e-07,12,12,138
9669,9633,0.999999761581,41.4585051818,563.0,1.78813934326e-07,12,12,138
10184,10228,0.999999821186,41.4585076529,7127.55101698,0.13318002224,13,13,37
10203,10247,0.999999821186,41.4585076529,7127.55101698,0.13318002224,13,13,37
10229,10185,0.999999821186,41.4585076529,7127.55101698,0.13318002224,13,13,37
10958,10902,0.999999761581,41.4585051818,149.0,5.96046447754e-08,14,14,139
11248,10208,0.999999761581,41.4585051818,277.0,5.96046447754e-08,15,13,37
12206,12240,0.999999701977,41.4585027107,88.0,5.96046447754e-08,16,16,140
20478,20510,0.999999761581,41.4585051818,7148.17455786,0.203096210957,18,18,141
