lower_bound,upper_bound,window_id,group_idx
280,436,0,51
4165,4502,1,52
267346,267470,2,19
269098,269222,3,0
269645,269769,4,2
270239,270363,5,13
270974,271098,6,20
271515,271639,7,0
271965,272212,8,0
273863,273987,9,8
274124,274248,10,0
275319,275443,11,0
275490,275614,12,0
537260,537384,13,0
919976,920100,14,0
922257,922503,15,0
922817,922941,16,0
923198,923322,17,0
924474,924623,18,0
925127,925251,19,0
925323,925447,20,21
925507,925631,21,0
925698,925822,22,0
925948,926072,23,1
926467,926591,24,4
927061,927185,25,0
927467,927591,26,0
928430,928554,27,0
928769,928893,28,0
929292,929416,29,0
929714,929838,30,0
930565,930689,31,0
930838,930962,32,0
931693,931817,33,0
931980,932104,34,0
933838,933962,35,0
934539,934708,36,0
934784,934908,37,4
935535,935659,38,0
937533,937657,39,0
938267,938391,40,14
953212,953336,41,0
953476,953600,42,0
955956,956080,43,0
957558,957682,44,0
957824,957948,45,0
958660,958929,46,0
959362,959486,47,0
959538,959662,48,0
959783,959907,49,0
960140,960264,50,0
960420,960562,51,0
960774,960898,52,0
961158,961282,53,0
963580,963704,54,0
963774,963988,55,0
964080,964376,56,0
964622,965018,57,0
965072,965296,58,0
965735,965859,59,0
966327,966451,60,0
966690,966814,61,0
967012,968213,62,0
968292,968817,63,0
968968,969169,64,0
969238,969362,65,6
969488,969695,66,0
969953,970077,67,22
970141,970819,68,0
970829,971193,69,0
971396,971614,70,9
971636,971789,71,0
971916,972076,72,0
972414,972538,73,0
973006,973196,74,0
973378,973502,75,0
973662,973786,76,0
973947,974071,77,0
974103,974241,78,0
974377,974501,79,0
974536,974660,80,23
974787,974911,81,0
975099,975223,82,0
975456,975580,83,6
976158,976282,84,0
976934,977058,85,0
977377,977501,86,0
977540,977719,87,0
977799,978014,88,0
978533,978657,89,0
979079,979203,90,0
979439,979563,91,0
981484,981608,92,0
982884,983008,93,0
985146,985270,94,0
985491,985615,95,0
985659,985783,96,0
985859,985983,97,0
986083,986207,98,0
986270,986394,99,0
986554,986678,100,0
987976,988100,101,0
1000227,1000351,102,24
1090716,1090840,103,0
1340263,1340387,104,0
1647803,1647927,105,0
1648248,1648372,106,0
1648649,1648773,107,0
1649413,1649537,108,1
1649802,1649926,109,0
1651658,1651782,110,25
1652011,1652135,111,0
1652273,1652397,112,26
1652803,1652945,113,0
1653047,1653171,114,0
1653302,1653430,115,0
1653557,1653681,116,0
1653855,1653979,117,0
1654140,1654264,118,27
1654371,1654495,119,0
1655021,1655175,120,4
1655397,1655521,121,0
1655703,1655827,122,28
1655888,1656012,123,0
1656379,1656503,124,29
1656692,1656816,125,0
1657360,1657571,126,15
1657651,1657775,127,15
1657909,1658118,128,0
1658249,1658373,129,0
1658450,1658574,130,0
1658855,1658979,131,0
