lower_bound,upper_bound,window_id,group_idx
6006,6172,0,262
7196,7354,1,263
8183,8343,2,264
10287,10465,3,265
10491,10834,4,266
10927,11153,5,267
11269,11446,6,268
41941,42099,7,269
43116,43272,8,270
49197,49353,9,271
192005,192129,10,0
453794,453918,11,0
671877,672001,12,23
672819,672943,13,0
673163,673287,14,0
673975,674146,15,0
678965,679089,16,0
680119,680243,17,0
680473,680597,18,0
681080,681204,19,0
683559,683716,20,0
683966,684090,21,0
686236,686360,22,0
689856,689980,23,0
692584,692708,24,0
697600,697724,25,1
697924,698048,26,0
698814,698938,27,0
700212,700336,28,0
701632,701756,29,1
702850,702974,30,0
709083,709207,31,0
764767,764891,32,0
1170128,1170252,33,1
1480261,1480385,34,1
1480674,1480812,35,1
1480947,1481071,36,1
1482081,1482205,37,1
1482628,1482752,38,1
1488279,1488403,39,1
1489231,1489355,40,1
1492054,1492178,41,1
1493589,1493713,42,1
1493958,1494082,43,4
1494232,1494418,44,0
1494477,1494601,45,1
1495771,1495895,46,0
1496193,1496317,47,0
1496866,1496990,48,0
1497031,1497155,49,1
1497359,1497483,50,1
1497742,1497978,51,1
1498178,1498302,52,1
1498686,1498828,53,1
1499185,1499309,54,1
1499389,1499680,55,1
1499729,1499934,56,4
1500224,1500358,57,0
1500664,1500854,58,0
1500875,1500999,59,0
1501637,1501971,60,1
1502204,1502650,61,1
1502758,1502960,62,1
1503107,1503282,63,1
1503652,1503981,64,1
1504053,1504177,65,24
1504510,1504634,66,1
1504661,1504861,67,1
1504883,1505119,68,0
1505632,1505756,69,1
1506671,1506795,70,1
1507491,1507615,71,0
1507671,1507795,72,0
1867143,1867267,73,0
2933832,2933956,74,0
2938092,2938216,75,0
2947380,2947504,76,0
3027078,3027202,77,0
3606264,3606388,78,2
3608302,3608426,79,2
3610259,3610383,80,2
3610918,3611042,81,2
3612289,3612413,82,2
3613004,3613128,83,2
3613643,3613767,84,2
3614187,3614355,85,2
3614816,3614940,86,2
3615016,3615140,87,2
3615621,3615745,88,2
3616137,3616261,89,2
3616464,3616588,90,2
3618030,3618154,91,2
3618306,3618430,92,2
3618599,3618723,93,2
3618960,3619084,94,2
3619309,3619433,95,2
3619880,3620011,96,2
3620235,3620359,97,2
3621215,3621339,98,2
3621724,3621898,99,2
3622545,3622704,100,2
3623610,3623758,101,2
3624240,3624364,102,25
3624436,3624560,103,2
3624699,3624823,104,2
3624934,3625058,105,2
3625507,3625662,106,2
3626073,3626229,107,2
3626338,3626462,108,2
3626839,3626963,109,2
3627379,3627550,110,2
3627597,3627823,111,2
3628536,3628660,112,26
3628686,3628835,113,2
3629256,3629387,114,2
3629625,3629749,115,25
3629826,3629950,116,2
3630103,3630227,117,2
3630352,3630476,118,2
3630585,3630782,119,2
3631093,3631233,120,2
3632974,3633103,121,2
3633550,3633674,122,2
3634132,3634256,123,26
3634371,3634495,124,2
3634862,3635016,125,2
3635285,3635409,126,2
3635471,3635595,127,2
3635939,3636063,128,2
3636221,3636345,129,2
3979055,3979179,130,0
3979501,3979625,131,0
3981985,3982109,132,0
3982596,3982720,133,7
3983003,3983127,134,0
3985404,3985528,135,0
4007401,4007722,136,0
4008592,4008716,137,0
4010270,4010394,138,0
4012577,4012701,139,3
4380689,4380813,140,0
4489197,4489371,141,8
5449169,5449432,142,8
5884455,5884579,143,27
6237166,6237290,144,0
6237548,6237672,145,0
6238256,6238392,146,0
6239251,6239375,147,0
6239628,6239752,148,28
6604747,6604939,149,8
7416902,7417026,150,0
8944951,8945159,151,14
9140322,9140446,152,29
9140628,9140752,153,30
9140838,9140962,154,31
9141182,9141306,155,32
9141370,9141494,156,33
9141698,9141822,157,34
9142228,9142352,158,35
9142632,9142756,159,36
9143121,9143245,160,37
9143261,9143385,161,38
9143504,9143628,162,39
9144156,9144280,163,40
9144439,9144563,164,41
9144615,9144739,165,42
9144978,9145102,166,43
9145544,9145668,167,44
9146019,9146143,168,45
9146404,9146528,169,46
9146651,9146882,170,47
9147225,9147349,171,48
9147560,9147684,172,49
9147822,9147946,173,29
9148128,9148252,174,30
9148338,9148462,175,31
9148682,9148806,176,32
9148870,9148994,177,33
9149198,9149322,178,34
9149728,9149852,179,35
9150132,9150256,180,36
9150621,9150745,181,37
9150761,9150885,182,38
9151004,9151128,183,39
9151656,9151780,184,40
