lower_bound,upper_bound,window_id,group_idx
71,227,0,154
1382,1744,1,155
3404,3595,2,156
4194,4402,3,157
35739,36008,4,158
36062,36973,5,159
36989,37268,6,160
37514,37797,7,161
37827,38428,8,162
38899,39068,9,163
39204,39605,10,164
39746,40053,11,165
40263,40738,12,166
40742,40913,13,167
41404,41825,14,168
43547,43841,15,169
44935,45091,16,170
46565,46721,17,171
46835,47131,18,172
47152,47308,19,173
47342,47580,20,174
47615,47771,21,175
49236,49436,22,176
933362,933486,23,43
939001,939125,24,44
1466319,1466443,25,18
1467783,1467907,26,0
3609789,3609913,27,2
3611782,3611906,28,2
3613743,3613867,29,2
3615659,3615783,30,2
3617556,3617680,31,2
3618123,3618247,32,2
3619425,3619550,33,2
3620620,3620744,34,2
3621272,3621396,35,2
3621856,3621980,36,45
3623162,3623292,37,2
3624236,3624360,38,2
3624978,3625132,39,2
3626313,3626437,40,2
3626832,3626984,41,2
3627174,3627298,42,2
3627385,3627509,43,2
3627647,3627771,44,2
3628153,3628277,45,2
3628679,3628825,46,2
3629268,3629392,47,45
3629524,3629653,48,2
3630557,3630709,49,2
3631617,3631741,50,2
3632385,3632589,51,2
3633244,3633368,52,2
3634225,3634378,53,2
3634838,3634962,54,2
3635321,3635445,55,2
3635678,3635802,56,0
3636070,3636239,57,2
3636648,3636772,58,2
3637426,3637550,59,2
3637959,3638083,60,2
3638276,3638400,61,2
3639263,3639387,62,2
3641028,3641152,63,0
3642164,3642288,64,0
3642654,3642778,65,0
3642837,3642961,66,0
3643751,3643875,67,0
3644959,3645083,68,0
3659774,3659898,69,0
3963987,3964111,70,0
4235728,4235852,71,0
4669774,4669898,72,0
4743128,4743252,73,0
4746881,4747005,74,0
4747066,4747190,75,0
5096975,5097164,76,3
5404835,5404961,77,46
5413654,5413778,78,47
5416240,5416369,79,3
5420537,5420701,80,3
5421396,5421520,81,3
5422650,5422802,82,3
5424000,5424132,83,3
5426005,5426163,84,3
5430090,5430221,85,3
5432404,5432559,86,3
5434493,5434666,87,3
5436774,5436900,88,3
5438067,5438191,89,3
5438297,5438421,90,3
5438551,5438675,91,3
5441108,5441235,92,3
5443205,5443423,93,3
5444756,5444899,94,3
5447886,5448029,95,3
5452997,5453155,96,3
5454123,5454785,97,3
5454978,5455102,98,47
5456923,5457188,99,3
7001912,7002036,100,22
7005109,7005233,101,0
7005940,7006064,102,0
7006166,7006290,103,0
7008026,7008150,104,1
7008715,7008839,105,0
7008920,7009044,106,48
7009324,7009448,107,0
7010258,7010382,108,0
7010493,7010617,109,1
7012345,7012469,110,0
7012476,7012600,111,0
7013697,7013821,112,0
7013947,7014071,113,0
7014379,7014503,114,0
7016110,7016234,115,0
7018476,7018600,116,0
8584780,8584938,117,3
10140615,10140739,118,0
10142380,10142504,119,0
10144222,10144346,120,0
10144583,10144707,121,0
10144752,10144876,122,0
10145128,10145252,123,0
10146139,10146263,124,0
10146875,10146999,125,49
10148003,10148160,126,0
10148348,10148472,127,0
10148742,10148866,128,0
10148887,10149011,129,0
10149270,10149394,130,0
10149433,10149557,131,0
10149635,10149759,132,0
10150239,10150485,133,0
10150753,10150877,134,0
10151417,10151541,135,50
10152568,10152692,136,0
10153464,10153588,137,0
10156161,10156285,138,0
10732527,10732651,139,0
10806935,10807059,140,0
10877731,10877855,141,1
10878082,10878206,142,0
10881503,10881627,143,0
10882763,10882887,144,0
10885944,10886068,145,0
10888852,10888976,146,0
10890549,10890673,147,0
11017270,11017394,148,0
11018568,11018692,149,0
11020523,11020647,150,0
11032823,11032947,151,0
11033249,11033373,152,0
11033950,11034074,153,0
11297247,11297371,154,0
11323185,11323309,155,0
11333536,11333660,156,0
11336966,11337090,157,0
11337247,11337371,158,0
11337433,11337557,159,51
11339529,11339653,160,0
11340965,11341089,161,0
11357858,11357982,162,0
11482302,11482426,163,0
11485462,11485586,164,0
11499312,11499436,165,0
11502209,11502333,166,0
11503999,11504123,167,0
11504445,11504569,168,9
11504733,11504857,169,52
11505008,11505132,170,0
11505505,11505629,171,0
11505756,11505909,172,4
11506185,11506309,173,0
11506399,11506523,174,0
11506755,11506879,175,0
11507839,11507963,176,0
11508074,11508198,177,0
11508803,11508927,178,0
11509767,11509891,179,0
11510776,11510900,180,0
11511152,11511276,181,0
11511865,11511989,182,53
11513653,11513777,183,0
11514211,11514335,184,0
11514719,11514843,185,0
11515554,11515678,186,0
11516404,11516528,187,0
11516906,11517030,188,4
11518147,11518271,189,0
11519099,11519223,190,54
11522358,11522482,191,0
11527790,11527914,192,0
11574131,11574255,193,0
11574485,11574609,194,0
11576084,11576208,195,0
11578008,11578132,196,0
11578477,11578601,197,0
11578831,11578955,198,0
11579921,11580045,199,0
11580122,11580246,200,0
11581211,11581335,201,0
11581475,11581599,202,0
11582011,11582135,203,0
11582341,11582465,204,0
11582810,11582934,205,0
11583051,11583175,206,0
11583248,11583372,207,0
11584883,11585007,208,0
11585435,11585559,209,10
11586003,11586127,210,0
11587080,11587204,211,0
11587478,11587602,212,0
11589055,11589179,213,0
11589258,11589382,214,0
11665919,11666043,215,0
11666728,11666852,216,0
11667027,11667151,217,0
11679663,11679787,218,0
11681401,11681525,219,0
11682975,11683099,220,0
11683751,11683875,221,0
11684801,11684963,222,0
11691707,11691831,223,0
11707018,11707142,224,0
11711065,11711189,225,0
11713115,11713239,226,0
11724780,11724904,227,0
11763681,11763805,228,0
11770221,11770345,229,55
11771794,11771918,230,0
11772250,11772374,231,0
11772432,11772556,232,0
11773093,11773217,233,0
11773403,11773527,234,0
11773942,11774066,235,0
11774161,11774285,236,0
11774515,11774639,237,0
11774901,11775025,238,0
11775530,11775755,239,0
11775892,11776016,240,0
11776264,11776456,241,0
11776665,11776789,242,0
11777423,11777547,243,0
11777617,11777741,244,0
11777779,11778088,245,0
11778261,11778385,246,0
11778558,11778682,247,0
11778714,11778838,248,56
11778982,11779366,249,0
11779513,11779637,250,0
11779703,11779868,251,0
11779913,11780037,252,0
11780063,11780356,253,0
11780482,11780606,254,0
11780633,11780764,255,0
11780937,11781201,256,0
11781218,11781342,257,57
11781484,11781670,258,0
11781886,11782085,259,0
11782165,11782801,260,0
11782828,11783033,261,0
11783093,11783307,262,0
11783477,11783632,263,0
11783656,11784784,264,0
11784797,11784921,265,58
11785041,11785203,266,0
11785396,11785532,267,0
11785545,11785669,268,59
11785761,11786118,269,0
11786269,11786468,270,0
11786509,11786861,271,0
11787139,11787337,272,0
11787649,11787826,273,0
11787839,11788430,274,0
11788467,11789577,275,0
11789598,11789854,276,0
11789864,11790797,277,0
11790840,11791063,278,0
11791251,11791680,279,0
11791729,11792527,280,0
11792585,11792755,281,0
11793108,11793294,282,0
11793387,11793511,283,0
11793772,11794112,284,0
11794176,11794517,285,0
11794565,11794705,286,0
11794740,11795089,287,0
11795190,11795314,288,0
11795436,11795596,289,0
11795636,11795793,290,23
11796147,11796271,291,0
11796606,11796735,292,0
11796843,11796967,293,0
11797032,11797156,294,0
11797325,11797485,295,0
11797599,11797723,296,0
11797981,11798105,297,0
11798345,11798522,298,0
11798750,11798874,299,0
11799120,11799244,300,0
11799334,11799458,301,0
11799550,11799674,302,0
11800580,11800704,303,0
11802041,11802165,304,0
11802416,11802540,305,60
11803150,11803274,306,0
11807442,11807566,307,0
11811411,11811535,308,0
11908365,11908489,309,0
11908676,11908800,310,0
11909844,11909968,311,0
11911306,11911430,312,0
11912368,11912560,313,0
11912564,11912740,314,0
11913479,11913603,315,0
11913966,11914090,316,0
11914122,11914246,317,0
11914472,11914629,318,0
11914680,11914804,319,0
