Index1,Index2,peak_cc,peak_mad_mult,peak_width,peak_prominence,win_id_1,win_id_2,group_idx
1225,1257,0.999999582767,35.5905642926,1373.16791082,0.110168278217,0,0,60
1248,1280,0.999999582767,35.5905642926,1373.16791082,0.110168278217,0,0,60
1257,1225,0.999999582767,35.5905642926,1373.16791082,0.110168278217,0,0,60
1280,1248,0.999999582767,35.5905642926,1373.16791082,0.110168278217,0,0,60
1325,1293,0.999999582767,35.5905642926,1373.16791082,0.110168278217,0,0,60
3057,3025,0.999999940395,35.5905770208,69.0,5.96046447754e-08,1,1,61
39508,39540,0.999999701977,35.5905685353,6886.66516747,0.142348945141,3,3,62
39540,39508,0.999999701977,35.5905685353,6886.66516747,0.142348945141,3,3,62
41278,41246,0.999999344349,35.5905558071,82.0,5.96046447754e-08,4,4,63
82962,18964060,0.733576714993,26.1084201318,203.234065585,0.238781481981,5,1144,0
85819,2191033,0.782663106918,27.8554332484,145.528567708,0.271669864655,6,147,0
87367,14576721,0.79963439703,28.4594512923,201.927386352,0.252673327923,7,730,0
87677,15311879,0.765892386436,27.2585535938,126.486950636,0.188773751259,8,824,0
88208,4211549,0.803073883057,28.5818645919,175.100871873,0.227353155613,9,183,0
88503,15305268,0.837431788445,29.8046823428,170.081673571,0.364657402039,10,808,0
88969,15306512,0.759072005749,27.0158122952,137.01123608,0.193655490875,11,811,0
89676,15306002,0.765497863293,27.2445122867,131.781685166,0.204546928406,12,810,0
90230,18966092,0.821001410484,29.2199156757,358.704339464,0.279251277447,13,1145,0
90339,15305898,0.79214155674,28.1927767669,132.263807266,0.152869164944,13,810,0
91438,18962580,0.799651324749,28.4600537596,169.758487893,0.275806188583,14,1142,0
91757,2190906,0.762103915215,27.123719709,170.227224905,0.199442028999,15,147,0
93090,12224830,0.730841577053,26.0110749885,211.394960989,0.217979192734,16,344,0
93689,2190784,0.76071792841,27.0743916359,172.755044622,0.256603002548,17,147,0
355710,381304,0.755836427212,26.9006561812,91.602928602,0.251293778419,18,53,0
357185,382760,0.734573960304,26.14391267,93.6157119869,0.222920656204,19,57,0
357816,387105,0.735862076283,26.1897574636,95.1845561561,0.18939781189,20,62,0
358137,10679246,0.791089892387,28.1553474236,298.336487044,0.291514724493,21,217,0
358554,12228302,0.780580818653,27.7813234031,155.41768926,0.176404714584,22,349,0
358909,18968092,0.764542937279,27.2105259168,112.160440536,0.153260648251,23,1147,0
359250,380419,0.779273867607,27.7348082585,177.401665716,0.225877583027,24,51,0
