lower_bound,upper_bound,window_id,group_idx
-53,71,0,72
134,295,1,156
6481,6611,2,72
75048,75172,3,0
81268,81392,4,2
82017,82141,5,73
82245,82369,6,74
83483,83607,7,2
85829,85953,8,0
86132,86256,9,0
87139,87263,10,0
88182,88306,11,75
88614,88738,12,0
89112,89236,13,45
89313,89437,14,76
89586,89710,15,0
235895,236019,16,0
239124,239248,17,0
239583,239707,18,0
281870,281994,19,0
283173,283297,20,0
285083,285207,21,77
285395,285540,22,46
286209,286333,23,0
287443,287567,24,0
287842,287966,25,78
288111,288235,26,0
289058,289182,27,79
289583,289707,28,80
290022,290146,29,81
290909,291107,30,2
291380,291632,31,0
291657,292006,32,0
293826,293950,33,17
294338,294462,34,0
295447,295571,35,0
297503,297627,36,0
315693,315817,37,17
441954,442078,38,0
443479,443603,39,0
445259,445383,40,0
445520,445644,41,0
445844,446049,42,0
447002,447126,43,0
447130,447319,44,0
447590,447779,45,27
447791,448061,46,0
448506,448686,47,0
448865,448989,48,0
450074,450198,49,0
455546,455685,50,0
459418,459565,51,0
460249,460373,52,0
460656,460780,53,0
756150,756274,54,2
756406,756530,55,0
1289704,1289851,56,0
1290185,1290309,57,0
1290328,1290452,58,5
1294035,1294159,59,0
1300409,1300574,60,0
1300882,1301006,61,0
1303411,1303535,62,0
1303673,1303797,63,0
1309108,1309232,64,28
1309347,1309471,65,28
1309713,1309837,66,1
1310010,1310134,67,1
1310235,1310379,68,0
1316437,1316561,69,1
1479649,1479773,70,1
1480886,1481128,71,1
1481377,1481501,72,82
1481896,1482280,73,1
1482661,1482785,74,1
1483141,1483265,75,1
1483728,1483852,76,1
1483916,1484040,77,0
1487002,1487126,78,83
1488174,1488298,79,8
1491333,1491457,80,8
1494353,1494477,81,0
1588473,1588665,82,47
1681289,1681413,83,0
2021529,2021653,84,1
2030078,2030202,85,0
2037534,2037658,86,0
2038711,2038835,87,48
2089871,2089995,88,0
2250947,2251071,89,49
2252324,2252448,90,49
2607568,2607692,91,0
2680712,2680836,92,2
2685576,2685700,93,1
2690374,2690498,94,0
2690874,2690998,95,0
2714200,2714324,96,0
2717050,2717174,97,1
2718364,2718488,98,0
2720551,2720675,99,0
2720972,2721096,100,1
2726414,2726538,101,0
2726788,2726912,102,1
2754999,2755123,103,1
3006589,3006713,104,0
3443830,3443954,105,2
4113231,4113355,106,4
4114203,4114327,107,0
4115741,4115865,108,4
4115922,4116046,109,84
4116119,4116243,110,0
4116511,4116654,111,0
4116991,4117115,112,0
4117505,4117716,113,4
4119850,4119974,114,0
4124435,4124559,115,0
4133724,4133848,116,0
4134339,4134463,117,0
4134836,4134960,118,0
4135077,4135201,119,4
4135321,4135445,120,4
5398694,5398818,121,47
5405798,5405922,122,47
9826823,9826947,123,1
9828108,9828232,124,1
9829389,9829513,125,1
9833815,9833939,126,5
9835803,9835927,127,1
9839019,9839153,128,1
9839359,9839483,129,1
9839977,9840101,130,1
9840578,9840702,131,1
9840735,9840859,132,1
11209136,11209260,133,11
11213323,11213447,134,0
11213678,11213845,135,0
11752391,11752515,136,1
11753119,11753243,137,0
11755858,11756064,138,0
11757016,11757140,139,0
11757423,11757683,140,0
11762385,11762509,141,1
11764201,11764325,142,0
11764979,11765103,143,0
11765787,11765914,144,11
11767139,11767263,145,2
11768173,11768372,146,0
11770002,11770174,147,0
11770448,11770572,148,0
11780015,11780139,149,2
11865324,11865448,150,0
12021040,12021206,151,15
12099403,12099527,152,85
12099843,12099967,153,29
12109441,12109565,154,30
12110003,12110127,155,30
12110259,12110383,156,0
12110606,12110730,157,0
12116569,12116706,158,50
12120144,12120268,159,86
12120987,12121111,160,51
12288643,12288767,161,0
12310371,12310495,162,0
12313286,12313410,163,0
12313541,12313665,164,0
12314159,12314421,165,0
12314451,12314575,166,0
12314665,12314789,167,0
12315230,12315354,168,87
12315396,12315583,169,0
12315934,12316058,170,0
12316993,12317117,171,0
12317975,12318099,172,88
12318338,12318725,173,0
12318829,12318953,174,0
12319297,12319533,175,0
12319571,12319711,176,31
12319873,12320055,177,0
12320064,12320188,178,89
12320567,12320691,179,0
12320748,12320872,180,0
12322235,12322359,181,0
12322975,12323106,182,45
12323187,12323311,183,73
12323961,12324085,184,0
12324129,12324253,185,90
12324557,12324681,186,0
12325189,12325313,187,0
12325331,12325455,188,0
12325891,12326015,189,0
12326763,12326926,190,0
12327451,12327575,191,31
12327590,12327714,192,0
12327787,12327911,193,0
12328544,12328703,194,0
12328923,12329184,195,0
12329262,12329386,196,0
12329902,12330110,197,0
12333452,12333576,198,1
12334859,12334983,199,0
12336759,12336883,200,0
12337097,12337221,201,0
12337275,12337399,202,91
12358228,12358352,203,0
12358570,12358694,204,0
12394595,12394719,205,0
12394986,12395110,206,0
12395414,12395538,207,0
12395853,12395977,208,0
12396196,12396320,209,0
12397348,12397472,210,0
12397755,12397879,211,0
12398023,12398147,212,0
12399476,12399775,213,0
12399932,12400056,214,0
12400798,12400999,215,0
12401062,12401186,216,0
12401546,12401670,217,0
12401696,12401820,218,0
12408825,12408949,219,1
12412409,12412533,220,1
12616984,12617108,221,0
12618299,12618423,222,32
12619910,12620034,223,0
12625356,12625489,224,0
12625709,12625833,225,92
12627922,12628046,226,0
12629006,12629130,227,0
12630129,12630253,228,0
12630516,12630640,229,0
12630784,12630908,230,93
12630972,12631096,231,0
12631696,12631820,232,0
12633151,12633275,233,74
12634474,12634598,234,0
12634608,12634964,235,0
12635064,12635188,236,75
12635281,12635405,237,0
12635422,12635546,238,0
12635675,12635799,239,4
12637383,12637507,240,0
12690453,12690577,241,0
12691608,12691732,242,0
12692699,12692823,243,2
12693468,12693592,244,0
12693930,12694054,245,0
12694084,12694208,246,0
12694309,12694433,247,0
12694980,12695104,248,0
12695597,12695721,249,0
12696162,12696286,250,0
12702837,12702961,251,0
12703038,12703162,252,0
12710431,12710555,253,0
12711274,12711398,254,0
12711463,12711587,255,0
12711673,12711797,256,0
12712667,12712791,257,0
12713158,12713282,258,0
12713965,12714089,259,0
12714462,12714586,260,0
12714627,12714751,261,0
12714980,12715104,262,52
12715415,12715539,263,0
12715666,12715790,264,0
12716461,12716585,265,53
12716629,12716753,266,0
12716835,12717017,267,0
12717586,12717735,268,0
12718200,12718324,269,0
12719117,12719241,270,0
12719377,12719501,271,0
12719644,12719768,272,0
12720223,12720423,273,0
12720570,12720694,274,94
12721452,12721576,275,0
12722011,12722135,276,0
12722379,12722503,277,0
12722824,12722948,278,0
12723075,12723199,279,0
12723234,12723358,280,0
12723654,12723778,281,0
12724069,12724248,282,0
12724530,12724654,283,0
12724889,12725013,284,0
12725389,12725528,285,0
12725739,12726022,286,0
12726353,12726802,287,0
12727050,12727181,288,0
12727344,12727533,289,0
12727836,12728059,290,0
12728341,12728465,291,0
12728868,12729007,292,0
12729164,12729481,293,0
12729577,12730119,294,0
12730153,12730277,295,0
12730337,12730546,296,54
12731065,12731189,297,95
12731212,12731366,298,0
12731379,12731503,299,96
12731544,12731668,300,0
12731738,12731982,301,0
12732045,12732169,302,0
12732281,12732549,303,0
12732762,12732886,304,0
12733122,12733474,305,0
12733986,12734110,306,0
12734446,12734653,307,0
12734701,12735899,308,0
12736011,12736511,309,0
12736532,12736941,310,0
12737454,12737578,311,0
12738366,12738524,312,0
12738769,12738893,313,97
12739131,12739255,314,0
12739312,12739436,315,98
12739509,12739633,316,99
12739838,12739962,317,0
12740007,12740553,318,0
12741041,12741165,319,100
12741184,12741409,320,0
12741436,12741697,321,33
12741792,12741916,322,101
12741949,12742179,323,0
12742939,12743063,324,0
12743479,12743603,325,0
12744096,12744220,326,0
12744518,12744642,327,0
12746086,12746210,328,0
12746402,12746536,329,0
12746707,12746831,330,102
12747307,12747431,331,0
12748136,12748260,332,0
12748973,12749097,333,0
12749607,12749731,334,0
12749937,12750061,335,51
12750719,12750843,336,0
12751413,12751537,337,0
12752160,12752284,338,0
12753397,12753645,339,0
12754110,12754234,340,0
12755193,12755317,341,0
12755454,12755578,342,0
12762590,12762714,343,103
12764770,12764898,344,0
12769337,12769461,345,0
12770715,12770839,346,0
12770975,12771099,347,0
12771253,12771377,348,0
12771683,12771807,349,0
12827392,12827516,350,0
12827625,12827749,351,0
12901435,12901559,352,10
12902987,12903122,353,10
12904328,12904531,354,10
12908610,12908734,355,0
12909280,12909422,356,10
12912679,12912803,357,18
12915599,12915723,358,104
12984191,12984315,359,1
13087048,13087172,360,0
13087330,13087454,361,0
13087952,13088115,362,0
13089672,13089868,363,0
13090861,13091010,364,0
13103027,13103157,365,0
13103319,13103443,366,55
13199007,13199131,367,0
13199836,13199960,368,34
13203519,13203643,369,0
13205391,13205515,370,0
13205786,13205910,371,0
13206777,13206901,372,0
13207288,13207412,373,0
13207512,13207636,374,0
13209350,13209474,375,0
13228515,13228639,376,0
13228810,13228934,377,0
13229030,13229154,378,0
13229233,13229357,379,0
13229395,13229519,380,0
13229646,13229770,381,0
13230063,13230187,382,0
13230461,13230585,383,0
13230797,13231034,384,0
13232025,13232149,385,0
13232233,13232357,386,0
13232445,13232571,387,0
13233244,13233368,388,0
13235546,13235670,389,0
13236919,13237043,390,0
13237106,13237230,391,0
13237465,13237589,392,0
13237782,13237906,393,0
13237963,13238087,394,34
13238678,13238802,395,0
13239571,13239695,396,0
13241654,13241778,397,0
13241864,13241988,398,0
13242187,13242311,399,0
13243990,13244114,400,0
13244568,13244692,401,0
13245902,13246026,402,0
13248484,13248608,403,0
13248697,13248821,404,0
13249408,13249532,405,0
13249740,13249864,406,0
