lower_bound,upper_bound,window_id,group_idx
667,847,0,64
1438,1596,1,65
2660,3012,2,20
4058,4410,3,20
4568,4724,4,66
4928,5084,5,67
5240,5396,6,68
6186,6342,7,69
8779,8937,8,70
10884,11008,9,21
14527,14683,10,71
14706,15063,11,72
15552,15708,12,73
38808,38932,13,21
40690,40848,14,74
41452,41608,15,75
41727,41883,16,76
45878,46034,17,77
46035,46191,18,78
46444,46600,19,79
49827,49951,20,0
50183,50307,21,0
55912,56036,22,0
56347,56550,23,0
58381,58505,24,0
58873,58997,25,0
60397,60521,26,22
60669,60793,27,0
62201,62325,28,0
64740,64864,29,0
67743,67912,30,0
68944,69135,31,0
69541,69665,32,0
70581,70715,33,0
71225,71349,34,0
72101,72335,35,0
73309,73501,36,0
74573,74697,37,0
75775,75899,38,0
75990,76114,39,0
77942,78101,40,0
80277,80470,41,0
80851,80975,42,0
81664,81788,43,0
82753,82951,44,0
83703,83827,45,0
86903,87027,46,0
87630,87864,47,0
88129,88253,48,0
89485,89609,49,0
91948,92173,50,1
94471,94788,51,0
96733,97108,52,0
97885,98056,53,0
99247,99424,54,0
103289,103413,55,23
104542,104751,56,0
104770,104894,57,0
105190,105396,58,0
108521,108678,59,0
109535,109663,60,0
113761,113885,61,0
117229,117353,62,0
119167,119291,63,0
120095,120219,64,0
120448,120572,65,0
120994,121118,66,0
124941,125157,67,6
126856,126980,68,0
129363,129487,69,0
129984,130108,70,0
130626,130750,71,0
133802,133926,72,0
134042,134166,73,0
134211,134335,74,0
135026,135253,75,0
136010,136134,76,0
140312,140436,77,0
140778,140902,78,0
141749,141873,79,0
142588,142712,80,0
143019,143143,81,0
144340,144579,82,0
145797,145921,83,0
151183,151307,84,0
157533,157657,85,8
160775,160899,86,0
162425,162549,87,0
164092,164216,88,0
164897,165021,89,0
165823,165947,90,0
167863,167987,91,0
168736,168860,92,0
168972,169167,93,0
170748,170872,94,0
172687,172811,95,0
173694,174028,96,0
177285,177409,97,0
182059,182243,98,0
186536,186660,99,0
193518,193654,100,0
196691,196891,101,0
198177,198301,102,0
199393,199517,103,0
200577,200872,104,0
201189,201313,105,0
201380,201583,106,0
201614,201738,107,0
202896,203044,108,0
203847,203971,109,0
205252,205376,110,0
206166,206290,111,0
206584,206728,112,0
207328,207515,113,0
208834,209166,114,0
210496,210620,115,0
210876,211000,116,0
211099,211223,117,0
212190,212392,118,0
213124,213301,119,0
213418,213542,120,0
213651,213775,121,0
214125,214249,122,0
214386,214510,123,0
214537,214661,124,24
216657,216781,125,0
217621,218018,126,0
218026,218361,127,0
219450,219574,128,0
220314,220438,129,0
221484,221608,130,0
222221,222345,131,0
222774,222898,132,0
223506,223630,133,0
226274,226411,134,0
228557,228707,135,0
229243,229367,136,0
230891,231015,137,0
233879,234034,138,0
235069,235193,139,0
235287,235411,140,0
235594,235718,141,0
236531,236655,142,0
236720,236844,143,1
237924,238048,144,0
240284,240408,145,0
241727,241851,146,0
241970,242094,147,0
244766,244903,148,0
245764,245935,149,0
246010,246134,150,0
247680,247804,151,0
248208,248332,152,0
249055,249251,153,0
249397,249626,154,0
249987,250111,155,0
251424,251548,156,0
255234,255358,157,0
256100,256224,158,0
258500,258624,159,0
258972,259096,160,0
259931,260133,161,0
262011,262135,162,0
262557,262681,163,0
265894,266046,164,0
269605,269844,165,0
271710,271834,166,0
272823,272947,167,0
274668,274850,168,0
275710,275834,169,0
277255,277379,170,0
278343,278467,171,0
278584,278708,172,0
279403,279527,173,0
286039,286201,174,0
286837,286961,175,0
288560,288770,176,0
289032,289248,177,0
290731,290886,178,0
291203,291327,179,0
292637,292761,180,0
295368,295538,181,5
295653,295922,182,0
296966,297090,183,0
297262,297386,184,0
298173,298297,185,0
298808,298932,186,0
301874,301998,187,0
303174,303313,188,0
305166,305290,189,0
308698,308822,190,0
309395,309519,191,0
310685,310809,192,0
311860,311984,193,0
312844,312968,194,1
318196,318320,195,0
318717,318841,196,0
321117,321241,197,7
321994,322277,198,0
325153,325277,199,0
327517,327762,200,0
328373,328497,201,0
328955,329079,202,4
329718,329842,203,0
330261,330385,204,0
330790,331081,205,0
332086,332285,206,0
333274,333398,207,0
333510,333634,208,0
334274,334559,209,0
335421,335545,210,0
338504,338628,211,0
342822,342946,212,0
343368,343492,213,0
345547,345758,214,0
346117,346274,215,0
347877,348001,216,0
350605,351056,217,0
351886,352010,218,0
353873,354196,219,0
354652,354776,220,0
356334,356458,221,0
356886,357010,222,0
358915,359039,223,0
359187,359404,224,0
360123,360364,225,0
360971,361095,226,0
364044,364168,227,0
368695,368819,228,0
372655,372779,229,0
372900,373024,230,0
373625,373749,231,0
374299,374423,232,0
374660,374868,233,0
375999,376123,234,0
378459,378583,235,0
379649,379773,236,0
380073,380197,237,0
381789,382053,238,0
382293,382417,239,0
383023,383147,240,0
385704,385871,241,0
385952,386076,242,0
