lower_bound,upper_bound,window_id,group_idx
23464,23818,0,129
24220,24553,1,130
24558,24730,2,131
24759,24915,3,132
25172,25519,4,133
29061,29217,5,134
31084,31240,6,135
32572,32872,7,136
32900,33056,8,137
33639,33795,9,138
33803,33959,10,139
34709,34865,11,140
35006,35288,12,141
36709,36865,13,142
37372,37528,14,143
37835,37991,15,144
38439,38598,16,145
45701,45825,17,29
645195,645319,18,0
645507,645631,19,0
645905,646029,20,0
646440,646564,21,0
647603,647727,22,0
648290,648414,23,0
648659,648783,24,0
649154,649278,25,30
649353,649477,26,0
649712,649836,27,0
650839,650963,28,0
652986,653110,29,0
653170,653294,30,0
654872,654996,31,0
655930,656054,32,0
656415,656539,33,0
656938,657062,34,0
657672,657796,35,0
658518,658642,36,0
658709,658833,37,0
658988,659112,38,0
659144,659268,39,0
659850,659974,40,0
661345,661469,41,0
661652,661822,42,0
662366,662490,43,0
682512,682636,44,0
682660,682784,45,0
684710,684834,46,0
686244,686368,47,0
687190,687314,48,0
687345,687469,49,0
688465,688699,50,0
688718,688893,51,0
689212,689336,52,0
689431,689555,53,0
689655,689779,54,0
690254,690378,55,0
692907,693150,56,0
693469,693593,57,0
709423,709547,58,0
710631,710799,59,0
712476,712600,60,0
714326,714450,61,0
714812,714936,62,0
717548,717672,63,0
717724,717848,64,0
718509,718633,65,0
720065,720189,66,0
721656,721780,67,0
722210,722334,68,0
722536,722660,69,0
727820,727944,70,0
734108,734232,71,0
734937,735061,72,0
735618,735742,73,0
925901,926029,74,0
926118,926242,75,0
928951,929075,76,0
929851,929975,77,0
930012,930136,78,0
930499,930623,79,0
930813,930943,80,0
931401,931525,81,0
933113,933237,82,0
933615,933739,83,0
934323,934447,84,0
934709,934833,85,0
935014,935138,86,0
935304,935428,87,0
937112,937236,88,0
937479,937603,89,0
937870,937994,90,16
939076,939200,91,0
939327,939451,92,0
939545,939669,93,0
940221,940345,94,0
940366,940490,95,0
940559,940683,96,31
940761,940885,97,0
941127,941251,98,0
941287,941450,99,0
942033,942157,100,0
942488,942612,101,0
942747,942871,102,0
942877,943001,103,0
943177,943301,104,0
943478,943602,105,0
945857,946090,106,0
946178,946302,107,0
946630,946754,108,0
947008,947132,109,0
947392,947533,110,0
951610,951734,111,0
964326,964450,112,0
968252,968376,113,0
968909,969033,114,0
969063,969187,115,0
970270,970394,116,0
971107,971231,117,0
973478,973602,118,0
974453,974577,119,0
975045,975169,120,0
975299,975423,121,0
976554,976678,122,0
978351,978475,123,0
978551,978758,124,0
978831,978955,125,0
980028,980152,126,0
983015,983139,127,0
2648222,2648346,128,32
5393553,5393677,129,4
5401968,5402098,130,33
5404906,5405030,131,34
5412506,5412630,132,7
5419964,5420088,133,7
5425298,5425422,134,7
5429470,5429594,135,7
5440493,5440617,136,35
5443028,5443152,137,36
5445594,5445718,138,17
7065976,7066100,139,0
8318518,8318642,140,37
9395975,9396099,141,0
9424915,9425039,142,0
9457693,9457817,143,18
9472191,9472315,144,0
9475699,9475872,145,0
9476196,9476388,146,0
9476517,9476641,147,0
9477313,9477437,148,0
9477836,9477960,149,0
9478643,9478767,150,0
10430489,10430613,151,0
10432333,10432457,152,0
10612275,10612399,153,0
10681504,10681783,154,2
10681806,10681933,155,19
10682029,10682153,156,38
10682358,10682482,157,39
10682562,10682758,158,20
10682924,10683048,159,40
10683178,10683302,160,10
10683734,10683858,161,41
10684072,10684206,162,42
10684354,10684561,163,17
10686197,10686321,164,35
10686870,10686994,165,43
10687462,10687734,166,7
10687828,10687958,167,33
10688385,10688632,168,5
10809021,10809145,169,44
10809605,10809739,170,42
10812725,10812849,171,34
10815151,10815275,172,11
10817168,10817292,173,8
10817685,10817809,174,21
10819488,10819612,175,45
10819793,10819917,176,21
10821194,10821318,177,8
10821548,10821672,178,8
10822608,10822732,179,11
10823852,10823976,180,22
10824104,10824228,181,22
10825709,10825833,182,23
10825957,10826081,183,23
10829014,10829138,184,5
10844219,10844343,185,32
10844349,10844592,186,4
10844704,10844828,187,46
10844946,10845070,188,46
10846147,10846271,189,47
10846540,10846666,190,22
10846770,10847011,191,8
10847080,10847204,192,45
10847386,10847527,193,21
10847693,10847817,194,8
10847879,10848189,195,11
10848394,10848520,196,23
10850203,10850327,197,48
10850847,10850971,198,36
10851317,10851441,199,12
10851462,10851586,200,5
10934316,10934440,201,24
10934470,10934596,202,49
10934659,10934783,203,44
10934838,10934962,204,19
10935997,10936129,205,2
10939415,10939539,206,50
10940431,10940555,207,51
10941397,10941589,208,12
