lower_bound,upper_bound,window_id,group_idx
33388,33512,0,28
35459,35583,1,17
35600,35784,2,17
36042,36200,3,220
36693,36849,4,221
38843,39005,5,222
42729,42906,6,17
43032,43188,7,223
86399,86523,8,0
388928,389052,9,0
406519,406643,10,18
522829,522953,11,0
660336,660460,12,0
807693,807817,13,0
809224,809348,14,0
813773,814080,15,1
814504,814770,16,1
818365,818489,17,1
820111,820235,18,29
888065,888189,19,0
888555,888679,20,0
888724,888848,21,0
955435,955559,22,0
960553,960677,23,1
961100,961224,24,1
978963,979087,25,0
1085409,1085533,26,0
1113898,1114022,27,0
1150179,1150303,28,0
1152847,1152971,29,0
1252755,1252879,30,0
1262948,1263072,31,0
1263443,1263567,32,0
1272520,1272644,33,0
1275625,1275749,34,0
1310733,1310857,35,0
1311445,1311569,36,0
1330117,1330241,37,0
1346257,1346381,38,0
1362985,1363109,39,30
1402821,1402945,40,0
1500182,1500306,41,0
1649033,1649157,42,0
1653515,1653639,43,0
1663285,1663409,44,0
1672926,1673050,45,0
1674039,1674163,46,0
1674312,1674436,47,0
1675785,1675909,48,0
1675961,1676085,49,0
1676123,1676287,50,0
1680248,1680482,51,0
1680521,1680645,52,0
2163147,2163271,53,0
2246248,2246383,54,0
2249814,2249938,55,0
2250169,2250293,56,0
2257548,2257672,57,0
2258264,2258541,58,0
2259813,2259937,59,0
2260520,2260644,60,0
2266193,2266317,61,0
2266366,2266490,62,0
2269412,2269536,63,0
2269619,2269743,64,0
2280751,2280875,65,0
2281095,2281219,66,0
2281262,2281386,67,0
2426096,2426220,68,0
2427396,2427520,69,0
2428052,2428176,70,0
2429434,2429558,71,0
2429619,2429743,72,0
2429916,2430040,73,0
2430940,2431064,74,0
2431327,2431451,75,0
2431504,2431628,76,0
2431857,2431981,77,0
2432775,2432913,78,0
2432941,2433065,79,0
2433179,2433306,80,0
2433422,2433546,81,0
2433721,2433845,82,0
2433972,2434096,83,0
2434289,2434439,84,0
2434612,2434736,85,0
2434785,2434995,86,0
2435379,2435503,87,0
2435703,2435827,88,0
2435946,2436290,89,0
2436399,2436719,90,0
2436947,2437071,91,0
2437433,2437557,92,0
2437737,2437927,93,0
2438188,2438330,94,0
2438454,2438578,95,0
2438734,2438858,96,0
2439045,2439169,97,0
2439274,2439398,98,0
2439583,2439707,99,0
2439827,2439951,100,0
2440167,2440453,101,0
2440783,2440943,102,0
2440966,2441164,103,0
2441324,2441641,104,0
2442143,2442304,105,0
2442479,2442603,106,0
2442845,2442992,107,0
2443458,2443582,108,0
2443907,2444031,109,0
2444247,2444371,110,0
2444429,2444553,111,0
2444584,2444786,112,0
2445194,2445318,113,0
2446484,2446608,114,0
2447113,2447237,115,0
2447734,2447858,116,0
2448231,2448355,117,0
2448375,2448514,118,0
2449429,2449553,119,0
2450301,2450425,120,0
2451412,2451536,121,0
2469181,2469305,122,0
2470178,2470302,123,0
2471842,2471966,124,0
2473402,2473526,125,19
2473782,2473942,126,0
2475789,2475913,127,0
2476573,2476697,128,0
2550973,2551097,129,18
2553313,2553437,130,0
2555981,2556135,131,14
2556612,2556736,132,31
2556758,2556882,133,0
2557231,2557355,134,0
2557924,2558048,135,0
2559037,2559161,136,0
2559363,2559487,137,32
2559776,2559900,138,0
2643230,2643354,139,0
2644101,2644225,140,1
2646200,2646324,141,0
2646338,2646462,142,33
2646639,2646763,143,3
2647045,2647169,144,3
2649077,2649201,145,34
2653855,2653979,146,0
2989094,2989218,147,8
3196385,3196509,148,0
3197888,3198012,149,0
3198772,3198896,150,0
3199503,3199627,151,0
3199784,3199908,152,0
3200120,3200244,153,0
3200522,3200837,154,0
3201240,3201364,155,0
3201441,3201565,156,0
3202738,3202862,157,0
3203215,3203339,158,0
3203759,3203883,159,0
3204576,3204700,160,0
3204748,3204932,161,0
3205008,3205132,162,0
3205166,3205290,163,0
3205872,3205996,164,0
3206584,3206708,165,0
3208778,3208902,166,0
3209278,3209402,167,0
3212232,3212356,168,0
3213283,3213407,169,0
3218092,3218216,170,14
3604438,3604562,171,5
3606440,3606564,172,5
3608442,3608577,173,5
3610378,3610502,174,5
3612275,3612399,175,5
3614171,3614296,176,5
3614466,3614617,177,5
3614743,3614867,178,5
3616032,3616156,179,5
3617893,3618030,180,5
3618952,3619076,181,5
3619762,3619886,182,5
3621630,3621842,183,5
3623519,3623731,184,5
3624082,3624206,185,5
3625381,3625505,186,5
3627248,3627377,187,5
3629107,3629263,188,5
3631005,3631129,189,5
3786022,3786146,190,0
3788665,3788789,191,0
3788801,3788954,192,0
3790596,3790720,193,0
3790996,3791120,194,1
3791238,3791362,195,0
3793312,3793436,196,0
