Index1,Index2,peak_cc,peak_mad_mult,peak_width,peak_prominence,win_id_1,win_id_2,group_idx
1454,1488,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,1,1,397
1458,1492,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,1,1,397
1462,1496,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,1,1,397
1481,1513,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,1,1,397
1488,1454,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,1,1,397
1530,1498,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,1,1,397
1573,1541,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,1,1,397
1589,1557,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,1,1,397
1633,1599,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,1,1,397
1675,1709,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,1,1,397
1694,1660,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,1,1,397
1699,1665,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,1,1,397
1707,1673,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,1,1,397
1882,1850,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,2,2,398
1951,1917,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,2,2,398
1966,1932,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,2,2,398
1972,1930,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,2,2,398
2000,2038,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,2,2,398
2019,2057,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,2,2,398
2038,2000,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,2,2,398
2066,2028,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,2,2,398
2094,2132,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,2,2,398
2113,2075,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,2,2,398
2131,2093,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,2,2,398
2261,2217,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,2,2,398
2621,2585,0.999999940395,32.8437739211,2864.50790587,0.00620037317276,3,3,399
229125,14955726,0.77486115694,25.4493661757,311.605852318,0.278653562069,8,1136,0
233824,2205782,0.790652692318,25.9680198244,158.182463402,0.307165622711,9,122,3
285243,19409555,0.764118075371,25.0965228124,116.708534332,0.265140891075,10,1562,0
291240,12123574,0.825495779514,27.1123983712,135.146177824,0.293679475784,11,890,0
293600,18442718,0.84467113018,27.7421892909,167.930414391,0.321239411831,12,1494,0
294698,19410203,0.768861591816,25.2523178034,367.158539989,0.163963973522,13,1563,0
294941,10327082,0.825567781925,27.1147632023,121.016004262,0.255487561226,14,654,37
295536,4451752,0.804914057255,26.4364168982,105.62943906,0.205772519112,15,251,0
295672,295519,0.794682621956,26.1003779303,81.9946994121,0.115520119667,16,15,0
296283,11450607,0.805566072464,26.4578315396,130.575497535,0.213402211666,17,765,10
296697,299481,0.805503845215,26.4557877617,208.98528725,0.196593880653,18,25,0
297110,19409805,0.851733565331,27.9741463281,147.492998371,0.180543243885,19,1563,0
297306,19409055,0.812682628632,26.6915661154,78.9918313957,0.119020879269,20,1562,0
297828,19408866,0.880678832531,28.9248181968,1025.61573023,0.412469506264,21,1562,0
298031,19409554,0.814209222794,26.7417052319,66.6813352918,0.113734960556,22,1562,0
298348,14955997,0.823673903942,27.0525610983,139.295964812,0.193803608418,23,1136,0
298847,20800939,0.806132495403,26.4764350076,119.695847078,0.207071423531,24,1800,0
299463,304306,0.83750718832,27.5068983901,162.035729978,0.233655393124,25,37,0
299780,18439825,0.818629264832,26.8868761019,78.7461393433,0.109352171421,26,1489,38
299962,20157372,0.803122460842,26.3775741071,122.853984372,0.194613814354,27,1617,0
300191,13335893,0.800734162331,26.2991333661,164.767238737,0.185463666916,28,996,5
301013,296328,0.792768359184,26.0375063128,87.8361599177,0.104488253593,29,17,10
301810,19408401,0.778590142727,25.5718401491,86.1946036863,0.0983195304871,31,1562,0
302120,20157165,0.816743969917,26.8249558983,111.992717568,0.156109273434,32,1617,0
302626,11958387,0.830403625965,27.2735905801,129.245315147,0.189192831516,34,854,41
303202,12124698,0.848943948746,27.8825247862,146.970560422,0.26316434145,35,892,0
303675,12124543,0.844332814217,27.7310777172,130.594065705,0.23719471693,36,892,0
304384,18442834,0.869619131088,28.5615758414,357.131045869,0.320051193237,37,1494,0
304878,13336144,0.839929282665,27.5864491139,309.986902673,0.259860813618,38,996,5
305790,14955846,0.829605996609,27.2473934203,143.634442369,0.19581413269,39,1136,0
306112,12772508,0.825870513916,27.1247060639,72.154115019,0.174600720406,40,959,26
306597,11459621,0.832546472549,27.3439697531,110.439503043,0.276888787746,41,781,7
307174,20157395,0.783061027527,25.7186808875,118.950101195,0.162620067596,42,1617,0
309410,20720776,0.80711877346,26.5088281031,154.561233437,0.266165018082,43,1750,0
310013,20157268,0.76736664772,25.2032181946,81.3190431129,0.210934281349,44,1617,0
310541,11461481,0.833881616592,27.3878209248,261.824054272,0.322224795818,45,785,7
