lower_bound,upper_bound,window_id,group_idx
89,249,0,1213
63261,63388,1,171
63672,63796,2,172
64386,64510,3,173
64623,64747,4,174
64765,64889,5,175
64957,65081,6,176
65142,65266,7,177
65302,65426,8,178
65665,65789,9,179
65835,66275,10,14
66435,67071,11,8
67131,67344,12,59
67362,67592,13,30
67642,67902,14,31
67903,69321,15,4
69324,76967,16,1
77029,77153,17,180
79110,79234,18,181
81429,82559,19,5
82615,82867,20,9
82915,83499,21,1
83568,83692,22,182
83766,84063,23,1
84094,84240,24,60
84462,84586,25,183
84606,84841,26,15
84919,85048,27,61
85070,85303,28,22
85327,85462,29,23
85518,85694,30,10
85948,86072,31,184
86311,86467,32,62
86792,87011,33,32
87194,87415,34,63
87554,87678,35,185
88144,88268,36,186
88462,88633,37,0
88678,88802,38,64
88916,89050,39,0
89099,89223,40,187
89340,89464,41,188
89509,89633,42,189
90371,90539,43,190
91127,91251,44,0
92428,92552,45,191
93437,93561,46,192
98386,98510,47,193
100198,100344,48,65
101318,101442,49,194
102553,102677,50,66
103516,103640,51,195
106807,106931,52,196
109692,109816,53,197
109921,110045,54,198
110192,110316,55,199
111037,111161,56,200
112225,112349,57,0
115492,115635,58,16
115864,115988,59,201
118798,118984,60,7
122080,122204,61,202
123904,124028,62,67
124363,124487,63,0
125928,126052,64,7
126454,126578,65,203
127167,127291,66,204
128329,128457,67,0
128812,129075,68,0
129202,129326,69,0
129586,129774,70,0
130074,130198,71,205
130369,130538,72,0
130592,130729,73,0
131026,131199,74,0
131220,131344,75,206
131380,131644,76,0
131877,132001,77,0
132277,132401,78,0
132702,132826,79,0
133322,133489,80,0
133627,133751,81,0
134282,134406,82,0
135007,135166,83,0
135582,135814,84,0
136014,136138,85,0
136486,136668,86,0
136863,136993,87,0
137087,137211,88,0
137332,137456,89,0
138067,138305,90,0
138781,138992,91,0
139019,139243,92,0
139537,139719,93,0
140316,140665,94,0
140753,141096,95,0
141702,141826,96,0
141881,142005,97,207
142189,142325,98,0
142575,142855,99,0
142882,143014,100,0
143085,143209,101,208
143231,143450,102,0
143704,143830,103,0
144052,144298,104,0
145526,145650,105,0
145938,146062,106,68
146182,146394,107,0
146467,146591,108,209
146602,146870,109,0
147156,147375,110,0
147434,147694,111,0
147925,148078,112,0
148398,148624,113,0
148694,148818,114,210
148937,149187,115,0
149494,149618,116,0
150005,150183,117,0
150523,150647,118,0
150713,151010,119,0
151146,151373,120,0
151638,151823,121,0
152093,152393,122,0
152625,152856,123,0
152938,153062,124,69
153171,153372,125,0
153489,153613,126,0
154066,154238,127,0
154377,154503,128,211
154566,154748,129,0
154820,154944,130,212
155112,155236,131,213
155502,155686,132,0
155868,156096,133,0
156369,156751,134,0
156835,157079,135,0
157127,157344,136,0
157671,157801,137,0
157910,158034,138,214
158060,158219,139,0
158487,158624,140,0
158653,158999,141,0
159227,159423,142,0
160151,160292,143,0
160572,160701,144,0
160986,161135,145,0
161433,161610,146,0
161978,162102,147,0
162899,163023,148,0
164019,164195,149,0
164324,164448,150,0
164830,164973,151,0
165082,165243,152,0
165302,165430,153,215
165877,166083,154,0
166090,166214,155,0
